participant,poste,session,round_number,understanding_faults,treatment,group_uid,paid_round,dictator,extraction,extraction_group,approbation,nb_approbation_yes_in_group,nb_approbation_no_in_group,approbation_group,extraction_dictateur,extraction_group_applied,extraction_applied,payoff,svo_group_uid,svo_choice_1,svo_choice_2,svo_choice_3,svo_choice_4,svo_choice_5,svo_choice_6,svo_mean_self,svo_mean_other,svo_score,svo_group_selected_choice,svo_group_selected_player,svo_group_selected_player_decision,svo_group_selected_player_payoff,svo_group_non_selected_player_payoff,NLE_nombre_cible,NLE_curseur_position,NLE_payoff,NLE_paid_decision,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,crt_score,nep_1,nep_2,nep_3,nep_4,nep_5,nep_6,nep_7,nep_8,nep_9,nep_10,nep_11,nep_12,nep_13,nep_14,nep_15,nep_score,year_of_birth,gender,nationality,marital_status,student,study_level,study_discipline,socioprofessional_group,experiment_participation
zck3obfr,leem5,rpejdnjv,1,0.0,0,rpejdnjv_5,5.0,1,4.0,14.0,,,,,,,,240.0,rpejdnjv_5,0.0,8.0,8.0,3.0,4.0,8.0,82.167,74.667,37.482,6.0,1.0,0.0,100.0,50.0,12.2,2.8,2.53,13.0,2.0,0.25,5.0,12.0,30.0,10.0,0.0,4.0,3.0,2.0,3.0,3.0,5.0,3.0,5.0,2.0,5.0,2.0,3.0,1.0,4.0,2.0,3.0,58.0,1994.0,1.0,FR,0.0,1.0,6.0,17.0,,1.0
nkp7u01x,leem11,rpejdnjv,1,0.0,0,rpejdnjv_3,2.0,1,5.0,17.0,,,,,,,,228.0,rpejdnjv_9,0.0,8.0,8.0,7.0,0.0,0.0,91.833,57.667,10.386,3.0,1.0,3.0,63.0,94.0,12.2,4.7,2.63,7.0,200.0,0.5,3.0,9.0,29.0,10.0,0.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,4.0,3.0,4.0,1.0,5.0,1.0,3.0,58.0,2000.0,0.0,BI,0.0,1.0,3.0,6.0,,1.0
pvcmlcbn,leem1,rpejdnjv,1,2.0,0,rpejdnjv_6,19.0,0,6.0,19.0,,,,,,,,217.0,rpejdnjv_3,0.0,8.0,8.0,5.0,0.0,8.0,87.833,67.0,24.196,5.0,1.0,0.0,100.0,50.0,12.2,10.41,2.91,13.0,400.0,0.5,5.0,4.0,29.0,20.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,1.0,5.0,1.0,5.0,4.0,4.0,1.0,4.0,1.0,4.0,61.0,1999.0,1.0,DZ,0.0,1.0,2.0,12.0,,1.0
2nz72whh,leem4,rpejdnjv,1,0.0,0,rpejdnjv_2,2.0,1,3.0,14.0,,,,,,,,217.0,rpejdnjv_7,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,5.0,2.0,0.0,100.0,50.0,12.2,13.13,2.95,2.0,2.0,0.25,5.0,3.0,31.0,0.0,0.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,2.0,4.0,3.0,4.0,2.0,3.0,52.0,1995.0,1.0,FR,0.0,1.0,3.0,6.0,,1.0
ya5a8sr3,leem9,rpejdnjv,1,2.0,0,rpejdnjv_4,3.0,1,4.0,14.0,,,,,,,,240.0,rpejdnjv_6,1.0,8.0,8.0,8.0,0.0,0.0,92.5,54.333,5.821,6.0,2.0,0.0,100.0,50.0,12.2,16.93,2.76,7.0,400.0,0.5,3.0,6.0,15.0,10.0,0.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,1.0,3.0,3.0,4.0,3.0,5.0,56.0,1998.0,0.0,HT,0.0,1.0,2.0,0.0,,1.0
weolk6ul,leem16,rpejdnjv,1,0.0,0,rpejdnjv_3,11.0,0,8.0,17.0,,,,,,,,276.0,rpejdnjv_2,0.0,8.0,8.0,3.0,0.0,3.0,87.833,66.833,23.986,5.0,2.0,0.0,100.0,50.0,12.2,10.41,2.91,11.0,200.0,0.5,8.0,6.0,15.0,20.0,0.0,2.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,3.0,5.0,59.0,1998.0,0.0,MA,0.0,1.0,5.0,11.0,,1.0
7kvnqzhv,leem8,rpejdnjv,1,0.0,0,rpejdnjv_2,18.0,0,6.0,14.0,,,,,,,,285.0,rpejdnjv_8,0.0,8.0,8.0,3.0,4.0,5.0,83.167,72.5,34.152,3.0,2.0,8.0,85.0,85.0,12.2,30.93,2.06,4.0,200.0,0.5,3.0,9.0,30.0,10.0,0.0,1.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,2.0,4.0,5.0,5.0,4.0,46.0,1995.0,0.0,BJ,0.0,1.0,3.0,8.0,,0.0
ybkwbvii,leem6,rpejdnjv,1,0.0,0,rpejdnjv_5,3.0,0,4.0,14.0,,,,,,,,240.0,rpejdnjv_10,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,3.0,2.0,8.0,85.0,85.0,12.2,25.36,2.34,15.0,60.0,5.5,2.0,2.0,30.0,10.0,0.0,1.0,3.0,2.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,53.0,1995.0,0.0,IT,0.0,1.0,5.0,6.0,,1.0
emg0d2w7,leem2,rpejdnjv,1,1.0,0,rpejdnjv_6,2.0,0,8.0,19.0,,,,,,,,240.0,rpejdnjv_10,0.0,8.0,8.0,6.0,0.0,5.0,89.5,63.0,18.217,3.0,2.0,8.0,85.0,85.0,12.2,55.11,0.85,11.0,200.0,0.5,3.0,12.0,30.0,20.0,2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,2.0,4.0,3.0,4.0,54.0,1992.0,0.0,CD,0.0,1.0,5.0,6.0,,1.0
wg2u2li2,leem12,rpejdnjv,1,0.0,0,rpejdnjv_4,13.0,0,4.0,14.0,,,,,,,,240.0,rpejdnjv_4,0.0,8.0,8.0,0.0,4.0,8.0,80.0,80.0,45.0,2.0,2.0,8.0,100.0,50.0,12.2,12.31,2.99,5.0,2.0,0.5,5.0,4.0,29.0,20.0,1.0,5.0,3.0,4.0,5.0,2.0,5.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,5.0,66.0,1998.0,1.0,FR,0.0,1.0,4.0,2.0,,1.0
